rank: 0; group_size: 1
890570 1.23593e+06 -1.4682e+11 2.83101e+10 
891105 1.24152e+06 -1.46998e+11 2.73873e+10 
891622 1.24712e+06 -1.4717e+11 2.64633e+10 
892121 1.25273e+06 -1.47336e+11 2.55383e+10 
892603 1.25833e+06 -1.47497e+11 2.46123e+10 
893068 1.26394e+06 -1.47651e+11 2.36853e+10 
893515 1.26955e+06 -1.478e+11 2.27574e+10 
893945 1.27516e+06 -1.47943e+11 2.18286e+10 
894357 1.28078e+06 -1.4808e+11 2.0899e+10 
894751 1.2864e+06 -1.48211e+11 1.99685e+10 
895128 1.29202e+06 -1.48337e+11 1.90372e+10 
895488 1.29764e+06 -1.48457e+11 1.81051e+10 
895829 1.30326e+06 -1.4857e+11 1.71724e+10 
896153 1.30889e+06 -1.48678e+11 1.6239e+10 
896460 1.31452e+06 -1.4878e+11 1.53049e+10 
896749 1.32015e+06 -1.48876e+11 1.43702e+10 
897020 1.32578e+06 -1.48967e+11 1.3435e+10 
897273 1.33142e+06 -1.49051e+11 1.24992e+10 
897509 1.33705e+06 -1.49129e+11 1.1563e+10 
897727 1.34269e+06 -1.49202e+11 1.06263e+10 
897928 1.34833e+06 -1.49269e+11 9.68912e+09 
898111 1.35397e+06 -1.4933e+11 8.7516e+09 
898276 1.35961e+06 -1.49385e+11 7.81374e+09 
898423 1.36525e+06 -1.49434e+11 6.87556e+09 
898553 1.37089e+06 -1.49477e+11 5.93712e+09 
898665 1.37654e+06 -1.49514e+11 4.99845e+09 
898759 1.38218e+06 -1.49545e+11 4.05957e+09 
898836 1.38782e+06 -1.49571e+11 3.12054e+09 
898895 1.39347e+06 -1.49591e+11 2.18138e+09 
898936 1.39911e+06 -1.49604e+11 1.24214e+09 
898959 1.40476e+06 -1.49612e+11 3.02851e+08 
898965 1.4104e+06 -1.49614e+11 -6.36452e+08 
898953 1.41605e+06 -1.4961e+11 -1.57573e+09 
898923 1.42169e+06 -1.496e+11 -2.51495e+09 
898876 1.42733e+06 -1.49584e+11 -3.45406e+09 
898810 1.43298e+06 -1.49562e+11 -4.39304e+09 
898728 1.43862e+06 -1.49535e+11 -5.33185e+09 
898627 1.44426e+06 -1.49501e+11 -6.27045e+09 
898509 1.44991e+06 -1.49462e+11 -7.2088e+09 
898373 1.45555e+06 -1.49417e+11 -8.14686e+09 
898219 1.46119e+06 -1.49366e+11 -9.08461e+09 
898048 1.46683e+06 -1.49309e+11 -1.0022e+10 
897859 1.47246e+06 -1.49246e+11 -1.0959e+10 
897652 1.4781e+06 -1.49177e+11 -1.18955e+10 
897428 1.48374e+06 -1.49102e+11 -1.28316e+10 
897186 1.48937e+06 -1.49022e+11 -1.37672e+10 
896926 1.495e+06 -1.48935e+11 -1.47023e+10 
896649 1.50063e+06 -1.48843e+11 -1.56367e+10 
